client_code,client_name,source_number,destination_number,direction,service_type,success,carrier,timestamp
CLT2,Client2,12159538568,17066135090,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:01:03
CLT2,Client2,16619525945,12705575114,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:02:29
CLT1,Client1,19803395703,12705575114,OUTBOUND,SMS,FALSE,Carrier B,01/01/2021 00:07:01
CLT3,Client1,17083986237,18014848755,OUTBOUND,SMS,TRUE,Carrier A,01/01/2021 00:05:26
CLT2,Client2,16016728203,17704761122,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:01:55
CLT2,Client2,17046753550,18322337884,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:06:15
CLT1,Client1,16013167018,12703665756,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:05:49
CLT3,Client1,16197558541,17148943322,INBOUND,SMS,TRUE,Carrier B,31/12/2020 23:59:11
CLT3,Client1,19284017081,15707043083,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:05:25
CLT2,Client2,14057146439,14235846061,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:07:09
CLT1,Client1,18017101181,16302571368,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:02:50
CLT2,Client2,18017101181,17704761122,OUTBOUND,SMS,TRUE,Carrier B,31/12/2020 23:49:08
CLT1,Client1,12709084254,17704254000,OUTBOUND,SMS,FALSE,Carrier C,01/01/2021 00:02:41
CLT2,Client2,18632018345,18774098881,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:03:31
CLT1,Client1,16576570777,18002152054,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:01:41
CLT2,Client2,18004644000,18502257510,OUTBOUND,SMS,FALSE,Carrier B,01/01/2021 00:04:14
CLT3,Client1,12709084254,16016830635,INBOUND,SMS,FALSE,Carrier B,31/12/2020 23:59:30
CLT2,Client2,18028554457,19315264134,OUTBOUND,SMS,FALSE,Carrier B,01/01/2021 00:05:45
CLT3,Client1,18173967230,18015634000,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:01:30
CLT1,Client1,15202807706,16194401000,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:02:35
CLT2,Client2,19416213323,14052469260,OUTBOUND,SMS,TRUE,Carrier A,01/01/2021 00:01:52
CLT1,Client1,12709084254,18002152055,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:01:05
CLT3,Client1,16055533108,16163771769,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:02:51
CLT3,Client1,12159538568,16123920390,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:05:14
CLT1,Client1,15208223047,18656370111,OUTBOUND,SMS,FALSE,Carrier C,01/01/2021 00:01:29
CLT1,Client1,13018813052,18656370111,OUTBOUND,SMS,FALSE,Carrier B,01/01/2021 00:07:23
CLT2,Client2,12709084254,14239008599,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:06:12
CLT2,Client2,19792291525,18656370111,INBOUND,SMS,FALSE,Carrier C,31/12/2020 23:59:48
CLT3,Client1,14064780790,15124026906,OUTBOUND,SMS,FALSE,Carrier C,01/01/2021 00:02:32
CLT3,Client1,19042905715,17017343662,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:07:36
